,ID,Date,District,Sector Heading,Sector Text
7,8,5-20-1970,New York,Summary of Economic Activity,in the second federal reserve district the boards of directors at the head office and at the buffalo branch were solicited for their own and others opinions regarding current economic conditions and the nearterm outlook in the summary the responses showed substantial agreement concerning 1 a tendency for capital expenditures to be stretched out where feasible 2 no decline in inflationary expectations and 3 an easing of the labor market in certain categories but continued strong upward wage pressuressome businessmen reportedly are deferring or stretching out capital spending plans where this is feasible apparently there is a growing uneasiness about existing capital spending plans one machine tool manufacturer with a fairly large national business has recently suffered a decline of more thanonethird in new orders spending plans that are being completed as originally contemplated include those where the firms have no choice namely programs that are already in process particularly if these have long lead times and programs that are connected with pollution control in western new york for instance 6570 percent of the current capital spending by the food processing industry is government mandated under air and water pollution programsmost of the directors expressed the belief that businessmen were either as concerned about inflation as they had been or increasingly so one director noted a growing fear and puzzlement over whether the federal reserve system and the administration mean business in the fight against inflation another director observed that industry fears wage and price controls and has consequently raised its profit marginsas for consumer psychology several directors indicated that consumers seemed to expect inflation to continue there was a difference of opinion as to whether this worried consumers or whether it had been accepted as a way of life at the same time almost all of the directors who commented on consumer psychology saw evidences of conservatism in consumer spending one director suggested that recent stock market developments could be expected to have a significant psychological effect on such spendingthere was general agreement that businessmen are more concerned about the expected continuation of inflation than they are about a recession there were varying opinions about when the floor of the valley would be reached but apparently most directors did not think the slowdown would be very deep a few of the directors noted that industrys principal concern has to do with the squeeze on profits since increasing costs cannot be easily passed on in a sluggish periodconditions in the labor market are very uneven to judge from the directors remarks some directors noted that it had become more difficult for college graduates to find jobs in certain categories eg as engineers and physicists moreover unskilled help is apparently in easy supply however qualified skilled labor continues to be tight particular note of this was made with regard to the buffalo and rochester areassome of the directors observed that despite the easing in some labor markets there was no detectable easing of upward wage pressures special comment was made regarding the steep demands by the building trades unions in the rochester area these reportedly stem from the very generous settlements obtained last year by the same trades in the buffalo area note was made of wage increases granted by some businessmen in their lowest paying job categories
50,51,6-17-1970,New York,Summary of Economic Activity,remarks by leading bankers and businessmen in the second district suggest a significant further slowdown in economic activity as well as increased financial pressures the labor market is showing signs of greater ease consumers are downgrading their purchases and retail profits are being squeezed very hard capital spending plans are being further reduced and a growing number of firms may be unable to repay their credits at maturity although expectations of a real recession have increased inflation continues to be viewed as a major problemas for the labor market most respondents indicated it was still difficult to get quality labor even though there are many more applicants than formerly one however declared the market had recently undergone a sharp change with quality people now available and another observed that the rate of turnover amongst his firms management trainees had declinedconsumer spending is generally weak and profits in the retail industry have suffered considerably from narrowed margins conditions were described as very bad by the head of a nationwide chain of department and discount stores and a top official in one of the countrys largest department stores characterized late may and early june as very very soft notably weak sectors included home furnishings television sets large appliances and men s wear among reasons given for consumers holding back were fear of unemployment effects of higher prices high interest rates the rather poor business situation and general uncertaintyconsumers in general were said to be downgrading or to be paying more attention to value to utility to price discount stores were reportedly doing better than regular department stores a very definite tendency toward downgrading was noted in the purchase of clothing there has also been a definite downgrading in auto buying with a shift toward cheaper models and strippeddown versions without radios air conditioning or heaters moreover people are turning increasingly to used cars another sector affected by either downgrading or value considerations has been education increased tuition as well as other costs has resulted in lower enrollments in private educational institutions with more students choosing statesupported schools only a few comments were at odds with the downgrading picture food dealers reportedly see an opposite trend and a recently developed camera priced to sell for less than 10 is eating up company storage spacecapital spending plans for 1970 are reportedly being reduced further by many firms some are reviewing their plans for the second or third time this year others are resorted to have already trimmed plans significantly apparently projects that are being stretched out or delayed are most often those designed to provide additional capacity however firms in the food industry do not seem to be altering their plans nor are cutbacks being made in plans designed to save labor or to reduce pollutionmany business firms are suffering a liquidity squeeze among contributing factors are reduced profits and a relatively rapid rise in accounts receivable the transportation industry has real liquidity problems and petroleum companies are finding liquidity more of a problem the head of a large bank said he was hesitant to discuss the quite serious corporate liquidity problem because of the possible pyramiding effect but declared that many companies may not be able to meet their maturities and that some substantial corporations will be unable to meet their payrolls without refinancingthe liquidity squeeze is having repercussions on the commercial paper market this market is giving one new york city banker nightmares some companies that use the market in very large volume are having difficulty rolling over their paper some commercial paper dealers have told some corporations they cannot continue to handle their issues it was estimated that 60 percent of all commercial paper issued today has backup bank credit lines if the commercial paper market were to collapse the major money market banks would not be able to meet the demand for credit moreover many of the smaller banks around the country are holding large amounts of commercial paperthe number of bankers and businessmen who expect a further slowdown in the economy has increased markedly upstate new york bankers made special note of the considerable decline that has occurred in new orders received by many manufacturers some however still think it most likely there will be a resumption of real growth in the second halfregardless of expectations as to real growth there is continued concern about wagecost pressures and the dangers of inflation two comments seemed to suggest a belief that inflation can be ended only by a recession the public will believe price stability is assured only if we havea serious recession or depression and the risk of a recession is preferable to continued inflation many bankers and businessmen see some sort of incomes policy as desirable one banker expressed opposition to any sort of incomes policy declaring it was not needed and could even do harm by producing an anticipatory rise in prices and wages
62,63,7-15-1970,New York,Summary of Economic Activity,in the second federal reserve district directors of the federal reserve bank and other business executives saw some signs that prices were easing indicated they believed the recent stretchout of capital spending plans would continue into 1971 and expressed the opinion that in general inventories were higher than business firms desired while it was thought the current strains in the financial markets did not pose a serious immediate threat to business activity considerable concern was expressed regarding business liquidityonly two of the federal reserve bank directors who attended the early july meetings at new york and buffalo were aware of any price shading by manufacturers but more directors mentioned other signs of an improvement in the overall price situation these included announced price cuts particularly at the retail level as well as price shading at the retail level by giving the customer greater value with regard tounderthecounter price adjustments it was reported that bethlehem steel corporation had taken a strong position against such a marketing practice as for announced cuts by manufacturers one director noted receiving an announcement of a three percent reduction in the price of cans for packaging beverages at the retail level there has been considerable price cutting by automobile dealers as well as by other retail outlets with the aim of either reducing inventories or building sales volumeretail store sales reportedly were holding up well except at downtown stores and during night shopping hours sales apparently were being bolstered by aggressive merchandising the head of a large chain observed however that retail stores need an increase of three to three and one half percent in volume to bring profit up to last years level contributing to this need were higher costs stemming from increases in wage rates in shipping charges and in shopliftingthe directors were virtually unanimous in believing that the more cautious capital spending pattern that apparently has developed in recent months will continue into 1971 new programs were being very carefully reviewed and many projects were being slowed down or indefinitely deferred however projects for which commitments are too far along to be canceled or postponed are being completed as probably will be projects designed to cut production costs and increase productivity although an upstate new york banker remarked that there were no signs of cutback in his area he observed that most of the capital spending there was on construction for municipalities and school districts for which firm contracts had been arranged long ago on the other hand a community college construction project for which bids were recently obtained may have to be canceled because the bids are so far above the original estimatesthe few comments made on the inventory situation suggested that inventories were higher than were desired a new york banker commented that inventories in general are eight to ten percent above a year ago and that increased inventories were particularly evident in the soft goods area the chairman of a large manufacturing firm observed that inventories were high mainly because business is not selling goods as fast as desired although special factors such as the recent truckers strike in chicago had contributed to the buildup as had a new permanent inflation factor that has been built into inventoriesmost directors seemed to believe the current strains in the financial markets did not pose a serious threat to business activity at the present time although the head of a large new york city bank declared he thought there would be adverse effects but was unable to judge whether these would be serious despite the nearconsensus that there was no immediate threat a number of directors and other business executives did indicate concern regarding financial developments a banker from upstate new york noted that many businessmen who have longterm financings in the offing are attempting to arrange standby intermediate or shortterm credits as possible alternative solutions to their financing needs an investment banker commented that his firm had been marketing fourtofive year securities for many clients and that if inflation is not halted he sees an end to public financing of debt issues a large retailer observed that small manufacturers were in serious shape with regard to liquidity they cannot borrow as easily as very big concerns and at the same time big retailers are slower in making payments to them than in the past inasmuch as the discount for prompt payment is less than the cost of borrowing money customer payments to retail stores were also noted as slower than usual the head of a new york academic institution declared the long decline in the stock market had cut gifts to private educational institutions and had drastically reduced the market value of holdings of endowed institutions finally a wall street man guessed that only 300 of todays 500 new york stock exchange member firms would survive the next six months but regarded mergers which he believes will accelerate as desirablean upstate new york banker commented there is still considerable demand for credit in the rochester area particularly for real estate projects but the head of a giant insurance company observed that the demand for new money was somewhat depressed and that requests for policy loans had leveled this insurance company it was noted is moving in the direction of real estate investments and equity participations the chairman of a large mutual savings bank remarked late in june that although official figures indicate a recent pickup in deposits at thrift institutions there is no evidence of such a movement in new york city he thought that most of the deposit money that was being withdrawn was probably going into bonds he also indicated he was not sure his bank benefited from the use of merchandise premiums and said he would favor their being banned by the supervisory authorities
74,75,8-12-1970,New York,Summary of Economic Activity,sentiment was mixed among federal reserve bank directors regarding the business outlook and inflationary pressures consumer spending was assessed by leading retail merchants as showing few signs of real strengththe chairman of a large manufacturing corporation believes that anxiety among businessmen has moderated somewhat and does not think plant and equipment spending will be depressed for very long a banker from upstate new york reported that people in his locality seem more optimistic about the business outlook than two or three months ago he noted they are not hesitating to request bank credit and remarked that a number of national business firms operating in his area are making strong efforts to hold their workers through such techniques as spacing vacationsthe upstate banker thinks the worst is over so far as a liquidity crisis is concerned however the head of a big merchandising enterprise reported that there is considerable concern in the rochester area about liquidity problems and that more business failures are expected in the coming months he noted that many jobbers in many fields have informed foreign manufacturers they are unable to pay for goods ordered earlier for future delivery the financial situation of retailers is also a source of worry to domestic suppliersretailers belittled the significance of the substantial july increases reported in the press for some retail chains they commented that most of the reported strength reflected consumer response to very intensive offprice promotions and that much of the big jump in yeartoyear figures resulted from the opening of many new stores lowerpriced stores catalogue business and bargain basements are continuing to do comparatively well an example was cited of a new store that opened around the end of july with a basement division occupying 15 per cent of the area this would normally have been expected to account for 1015 per cent of total sales but actually was accounting for 35 per cent style goods are deader than a church mouse with drastic fashion changes considered a factor in the sorry situation sales of television sets and large appliances are also very slow one nationwide retailer reported that the only geographic areas where business is not poor are new england and stable agricultural areas such as idaho and south dakotathe representative of a retail organization that had released july figures showing a very large yeartoyear increase commented that his organization regarded consumer confidence as being at an alltime low and was expecting this confidence to drop lower yet he and other retailers mentioned layoffs as well as depressing noneconomic news as factors influencing consumer confidence and producing the mental attitude that is leading to a higher savings rate although the retailers have seen no beneficial effects on sales from the ending of the tax surcharge and the increase in social security payments two of them made special mention of what they regard as a slight improvement in the collection situationas for expectations concerning inflation one federal reserve bank director questioned how inflationary pressures could be slowed if wages are rising at their current rates another director suggested there has been some improvement in the war against inflation if you close your eyes to some of these recent wage settlements a third from upstate new york noted that despite the very low unemployment rate in his area two major labor contracts had been settled recently without strikes and with reasonable wage increases and declared he had detected a definite trend among the public toward more optimism regarding the battle against inflation
86,87,9-9-1970,New York,Summary of Economic Activity,opinions were mixed among federal reserve bank directors and business leaders regarding current and prospective capital outlays consumer spending and the labor situation in general the assessment was no recent cuts in but careful watching of capital spending unchanged or improved consumer attitudes and a rise in the availability of labor but no curtailment in union wage demandsthe president of an upstate bank saw no evidence of a slowdown in capital spending in his area he referred to the difficulty recently experienced by his bank in finding a contractor for the construction of a new branch a rochester businessman stated that he had not heard of any plant construction programs being canceled in his locality he did note however that the largest corporation in the city had stopped building vigorously in the area because of labor market conditions and has shifted parts of its operations to denver colorado a group of business leaders generally indicated that a very careful watch on capital spending was being maintained in their industries and that their efforts were concentrated on modernization replacement and pollution control rather than on expansionsentiment with respect to consumer spending was particularly mixed with some interesting expressions of optimism one upstate businessman reported that retail merchants in his area were gearing their inventories to expectations of lower volume and did not anticipate a general improvement until the yearend holiday seasonthe president of an upstate bank felt that while sales continued to be good a good deal of the rise in the dollar amount was due to price increases he noted that lower priced cars were apparently moving well but that the sale of more expensive cars as well as luxury items in general have sufferedthe chairman of a large mediumpriced retail chain also felt that the continued rise in dollar volume was largely accounted for by price increases as well as the opening of new stores he also indicated that the weakest spots remained in the bigger ticket and higher priced items however while he could not point to a change in consumers buying habits on the basis of currently available hard figures his gut reaction was that consumer confidence had improved significantly over the past month as uncertainties over cambodia the stock market and the liquidity situation abated he expressed a subjective inclination to see this change translated into an improved sales picture in the near futurethe president of a large new york city department store was even more optimistic on the basis of very recent developments he felt that there had been a definite turn for the better and that he looked with confidence for further pickup in the coming months he reported a particularly marked increase in the sale of household goods which he attributed to a combination of pentup demand and improved consumer confidencewith respect to the labor market conditions both the rochester businessman and the upstate banker noted an increase in the availability of labor in their area notwithstanding the increased availability of labor the rochester businessman stated that there had been no easing whatsoever in union demands the chairman of the large retail chain remarked that increased labor costs had made price reductions very difficultone director concentrated on the aerospace industry he noted that 500000 workers were laid off in that industry in the past year and that another 500000 might also be laid off by next july he attributed these difficulties to the tough government attitude toward defense spending he said that if penn central could go into bankruptcy it was possible that lockheed and other aerospace firms might be forced into a similar situation in his view the airline industry may be unable to pick up present commitments for new aircraft unless the government permitted some mergers he said that airlines needed a high utilization rate to be profitable and that in some cases this was only possible through merger he commented on the tremendous amount of excess capital in the aerospace industry
99,100,10-14-1970,New York,Summary of Economic Activity,the overall impression gained from opinions expressed by federal reserve bank directors and business leaders was one of a somewhat sluggish economic recovery with an upward drift in unemployment the assessment was further cutbacks on balance in planned capital outlays with one notable exception indications that consumer spending was still restrained and continued relatively strong upward pressures on prices the directors felt current system policy to be about right and felt that further easing would be inappropriatemost of the directors felt that the tendency to cut back on plant and equipment spending is persisting thevicepresident of the largest corporation in rochester indicated that his companys spending program was influenced by a large project already underway and little could be done to cut back that project however he reported hearing of instances where planned spending was being deferred or cut back another director stated that while he had not seen any evidence of cutbacks in general he believed they were occurring in certain special cases notably the aerospace industry responses were mixed among top officials of nationwide corporations regarding their plant and equipment plans the president of one of the nations largest steel companies expected his firms 1971 outlays would be about the same as this years as against an originally planned increase of 25 percent with the reduction to be implemented by deferments and stretching out rather than through cancellations a diversified manufacturing corporation has budgeted a small increase in capital outlays for the next year following severe cuts last year conversely a large corporation in the financial services aerospace and insurance fields has planned a sizable cut in such expenditures for the coming year after abnormally high outlays in the past two years several business leaders stressed the increasing importance of environmental control in their capital spending plans and its adverse effect on productivity gainsthe chairman of a rochester department store characterized retail business in his area as not too good consumers are not spending freely partly as a result of higher unemployment the president of a buffalo bank noted that installment loans at his bank were at a somewhat lower level than last year on the other hand the president of an upstate bank reported a rise in such loans particularly automobile paper the chairman of a large mediumsized retail chain specializing in software was somewhat less optimistic than last month when he had felt that consumer confidence had improved significantly and would soon be translated into increased retail sales in the case of his firm these hopes have not yet materialized he still believed that the corner had been turned but that the recovery will be at a slower pace than he feels is generally expected among the factors he mentioned as currently inhibiting his own sales were the persistingindeed intensifiedconfusion over fashion styles and the warm weather for this time of the year he also felt that the ripples of the general motors strike were beginning to adversely affect salesparticularly in those areas where plants that were on strike or laying off workers as a result of the strike loomed large in the local economy the one notable exception in this generally gloomy retail sales picture was provided by the president of a large new york city department store with several suburban branches he reported that september had been a very good month for his firm and that business was steadily improving on a broad front the sale of hard goods notably television sets had picked up smartly while in his view the confusion over fashion styles was being rapidly clarified with a concomitant improvement in apparel sales he expected sales during the coming christmas season to reach a record highmost of the directors indicated that the somewhat less rapid rise in prices in recent months should probably be regarded as temporary the chairman of the nationwide manufacturing concern noted that there were still some big price increases to come for example in the automobile industry the president of an upstate bank observed that if wages go up 810 percent per annum how can higher prices be avoided several other directors as well as other business leaders also commented on the continued upward pressures generated by higher labor costs the federal reserve bank directors both at the head office and at the buffalo branch generally regarded current monetary policy as correct and felt that further easing at this time would be inappropriate
112,113,11-11-1970,New York,Summary of Economic Activity,a somewhat more pessimistic picture of the current and prospective economic outlook than had been painted a month ago emerged from the opinions expressed recently by federal reserve bank directors and other business leaders most feel that in part as a result of the general motors strike a revival of economic activity will be delayed longer than had previously been expected in their view prospects were for further trimming of planned capital outlays continued restrained consumer demand over the next few months sustained upward pressures on wages and prices a further squeeze on profits and little if any progress toward curbing inflationthe chairman of the board of a large new york city bank thus commented that overall economic activity had slowed and emphasized the significant actual and prospective adverse effects on the economy of the general motors strike the president of a rochester department store pointed to the unusually high rate of unemployment in his area to the temporary closing down of eight or ten companies dependent on the auto industry and felt very concerned and pessimistic over the current outlook the president of a large life insurance company believed 1971 would witness only a slow ascent while a partner in a large brokerage firm offering a wide variety of financial services did not see any significant upswing in the next year and if there is a recurrence of the inflation problem the president of a large chemical firm reported that he had been quite sanguine over his firms prospects prior to the general motors strike but was now more pessimistic the former chairman of the board of a major oil company foresaw a stagnant first half of 1971 but some real improvement for the full yearwith respect to planned capital outlays the chairman of the large new york city bank expressed the view that these plans are being revised downward a director reported some holding back in capital expenditures in the industries with which he is familiaraerospace electronic glass and communications the president of the rochester department store saw evidence of cutbacks in his area while the president of the large chemical corporation reported that his firm was trying to hold down such outlays he estimated that his firms capital outlays will be about the same in 1971 as in 1970 which will be a bit less than in 1969 the president of a large life insurance company and one of the partners in a large brokerage house both felt that corporations with whom their organizations had contacts were reducing original capital spending plans the editorinchief of a large publishing and communication corporation felt there might be a substantial decline from this years level and the president of a manufacturing firm reported cuts in his firms plans estimating its 1971 capital outlays as not in excess of and perhaps even below those of 1970regarding consumer demand rochester retail business was reported as terrible the president of a large chain of diversified department stores saw no real bounce as yet in retail sales but felt a faint heartbeat there has been some improvement lately in readytowear womens clothes as the indecision regarding the fashion styles is being resolved however mens suits were meeting a great deal of price resistance at the 100 level home furnishing television sets and other big ticket items were moving slowly he did expect christmas sales to be at about last years level and does not anticipate any real pickup in sales before the second quarter of 1971 the general motors strike so far has had little adverse effect on this firms second district stores but has had an impact on its stores in the middle west and the east coast of floridamost of the directors and business leaders expressed concern over the large wage increases already granted and looked for no lessening of wage demands by union and nonunion workers with respect to the latter the feeling was summed up by the president of an upstate bank who pointed out that nonunion labor reads about raises granted union workers and they do not want to be behind against this background most directors and business leaders did not think that the outlook for ultimate success in controlling inflation had improved
125,126,12-9-1970,New York,Summary of Economic Activity,opinions expressed by federal reserve bank directors and other business leaders point to relatively good albeit not spectacular retail sales over the christmas season but little change in the sluggish capital expenditure picture that has emerged in recent months continued strong upward pressures on wages and prices are widely expected and while most of those questioned were less than enthusiastic over the use of wage and price controls many felt the need for additional administration action in this area the directors felt that liquidity remained a problem for certain firmswith respect to consumer spending retail sales in the rochester area which last month had been characterized as terrible were now reported by the president of a department store in that city to be better than during past christmases the president of an ithaca ny bank found retail sales in that city to be reasonably good with four out of five businesses doing better than expected while the president of another upstate bank saw sales in his area as looking good the president of a large new york city department store who in recent months had been more optimistic than other retailers contacted was somewhat less sanguine this month his firms business had been very good in september and october but flattened out in november nevertheless he did feel that the best part of the game was still ahead and that business would gradually pick up in december he was certain that the dollar value of his firm sales over the christmas season would exceed last years he was not as certain however that the increase in dollar terms would be large enough to offset the rise in priceslittle new information on the plant and equipment picture emerged from the discussions with the outlook about unchanged from last monthnamely some cutback from original plans and an increased proportion of outlays going into environmental control the chairman of the countrys largest manufacturer of electrical equipment estimated on the basis of orders for capital goods on his firms books that plant and equipment outlays would increase nationwide by only two or three per cent next year with the entire increase due to price inflationsentiments regarding prices and wages developments were fairly gloomy it was felt generally that the general motors wage settlement would have a strong impact on wage demands and settlements in other areas the chairman of the electrical equipment firm saw nothing in sight to keep unit labor costs from rising sharply in the next two or three years and he believes that the rise in productivity this year was a one shot deal and wont be repeated and that the country has builtin inflation concern over the size of wage settlements and over continued upward pressures on prices was also expressed by several directors and other business leadersmost directors and other business leaders were less than enthusiastic over the use of wage and price controls however several were relatively open minded toward this approach while many of the respondents felt additional action on the part of the administration to limit further wage and price increases was needed the chairman of the electrical equipment manufacturer reported that the business council which he headed until recently had made it clear to president nixon that council members dont want wage and price controls because they are convinced they will never work one director however commented that the time was approaching when wage and price controls must be adopted and another director felt that while controls would not be workable over any extended period such controls might have a useful psychological effect for a short period a partner in large investment banking firm noted that incomes policies have failed all over the world where they have been tried but felt it was up to the united states to seek to find a solution to the problem of full employment without inflationthe directors in general felt that liquidity was still a problem for certain firms two upstate bankers stated it was a serious problem for the marginal smaller companies the chairman of the board of a large manufacturing concern felt the problem was spotty but also affected some sizable companies while another director stated that liquidity problems were serious in the airline aerospace and electronic industries and that it would be 18 months before some companies in these industries could see daylight
138,139,1-12-1971,New York,Summary of Economic Activity,opinions expressed by federal reserve bank directors of both the new york bank and the buffalo branch and by other businessmen suggest that the increased uncertainties surrounding the nearterm economic outlook that have emerged in recent months continue in evidence recovery from the gm strike has been slower than had been expected holiday retail sales have been relatively good but not booming and in general no real sustained pickup in consumer spending is looked for until later in the year the settlement in the forthcoming labor negotiations in the steel industry is not expected to be significantly smaller than in the auto industry sentiments were mixed as to the potential level of borrowings in 1971 in the corporate bond marketthe views expressed on the general economic outlook were not particularly optimistic the directors felt that economic activity was not recovering as rapidly and as strongly from the settlement of the gm strike as they had expected the chairman of the board of a large new york city bank stated that he felt less encouraged regarding the overall economic outlook than a couple of months ago and that he had not felt very encouraged then while the president of a new york city department store looked for only a moderate increase in economic activity in the later part of the yearwith respect to consumer spending the retailers that were contacted reported that preholiday sales in dollars exceeded last years primarily because of a big spurt in the week before christmas the retailers reported continued consumer resistance to higher priced items but favorable responses to special sales and the volume of postchristmas retail sales so far has been good these retailers looked for good business through january a leveling off in sales through the spring and a pickup in the latter part of the yearon the labor front opinions were about evenly divided with respect to the duration of a possible strike in the steel industry some directorsincluding the general manager of an upstate plant of a large steel corporationstated that they did not expect a long strike others however felt that prospects were good that any strike would be a lengthy one the directors agreed that the settlement would not be significantly smaller than that received by the auto workers in this connection other businessmen that were contacted felt that little progress was being achieved toward curbing inflation and that little could be expected until wage demands abatedsentiments regarding prospective borrowing in the corporate bond market were mixed the chairman of the large new york city bank the president of a large manufacturing concern and the chairman of a rochester bank felt there would be little decline in such borrowings from their 1970 record highs the president of the manufacturing concern reported that the consensus among corporate executives is that the bond market would be soft in the next three or four months but that rates would be higher by the end of the year accordingly he felt companies would come early to the market on the other hand some other directors felt that there would be a significant decline from 1970 levels
151,152,2-3-1971,New York,Summary of Economic Activity,opinions expressed by the directors of the new york bank and of the buffalo branch and other business leaders point to a significantly more buoyant retail sales picture and on balance a continued favorable outlook for residential construction at the same time most respondents looked for little or no immediate improvement in the unemployment situation nor for any easing of wage and price pressuressentiments expressed by most respondents regarding consumer spending were noticeably more optimistic than a month ago the consensus was that the spurt in sales in the prechristmas week and the continued favorable retail sales picture in january might well signal the longawaited improvement in consumers attitudes a typical opinion was expressed by the chairman of the board of a large new york city bank with close contacts with several large retail firms who saw a decidedly optimistic turn in outlook just before christmas and into january however several directors of the buffalo branch were less optimistic regarding automobile sales reporting that most auto dealers in their area were experiencing less business than had been anticipated with the settlement of the general motors strike one of the buffalo directors felt that the high rate of savings in the recent past together with declining consumer debt could well set the stage for a sharp rise in auto sales within the next few monthsmost respondents were generally optimistic about the outlook for residential housing construction several of the directors referred to the increased availability of mortgage funds available at lower rates at banks insurance companies and other financial institutions several of the directors at both the new york bank and the buffalo branch however noted that the high cost of land and other construction costs could inhibit increased residential constructionwhile mixed opinions regarding the unemployment picture on balance were relatively pessimistic the chairman of the board of a large manufacturing concern felt unemployment would rise further while similar feelings were expressed by an upstate banker and the president of another large manufacturing concern the rochester businessman reported that unemployment in that city was rising and that the largest firm in the area was making its employees take one day off without pay a month and was considering ordering additional time off an upstate banker on the other hand expected some improvement in the spring another director reported a trend toward less severe layoffs in airlines electronics computerrelated industries and light manufacturing with many job cutbacks accomplished through attrition rather than actual layoffsthe directors of the buffalo branch generally felt that unemployment had peaked but they did not look for any dramatic improvement over the next few monthsthe directors and other business leaders continued to show concern over the wage and price situation none of the respondents saw evidence of an easing of wage pressures the chairman of the board of a large new york state utility corporation expressed the feeling that until union leaders can be convinced inflation will actually slow it will be difficult to get them to reduce their demands the real purchasing power of workers has barely held even over the last 2 12 years he noted placing sustained pressure on union leaders to seek higher wage settlements most of the respondents saw no signs of price shading the chairman of the board of the large manufacturing concern did report that while he knew of no appreciable price reductions in the industries with which he was familiar he heard talk about such cuts elsewhere another leading businessman a director thought that the only area where price pressures might ease was raw materials
